City_Name,Type,Package,Variety,Sub_Variety,Year,Month,Week,Date,Low_Price,High_Price,Mostly_Low,,Origin,Origin_District,Item_Size,Color,Environment,Unit_of_Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans_Cost,Trans_Distance_(kM),Per_Capita_Income,packagetype,is_selected,Package_Size (Before adjusted according to item size),Unified_Package_Size,Unit_Price,Net_Unit_Price
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,9,39,9/24/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,566.338176,0.273246633,0.248261633
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,9,39,9/24/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,604.0940544,0.256168719,0.231183719
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,9,39,9/24/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,649.4011085,0.238296483,0.213311483
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,9,39,9/24/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,679.6058112,0.220716182,0.195731182
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,10,40,10/1/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,566.338176,0.273246633,0.248261633
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,10,40,10/1/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,604.0940544,0.256168719,0.231183719
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,10,40,10/1/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,649.4011085,0.238296483,0.213311483
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,10,40,10/1/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,679.6058112,0.220716182,0.195731182
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,10,41,10/8/2016,140,154.75,140,154.75,MICHIGAN,,jbo,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,566.338176,0.273246633,0.248261633
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,10,41,10/8/2016,145,154.75,145,154.75,MICHIGAN,,xlge,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,604.0940544,0.256168719,0.231183719
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,10,41,10/8/2016,150,154.75,150,154.75,MICHIGAN,,med-lge,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,649.4011085,0.238296483,0.213311483
ATLANTA,,24 inch bins,HOWDEN TYPE,,2016,10,41,10/8/2016,150,150,150,150,MICHIGAN,,sml,,,,,,,,,N,0.024985,999,45092,Bin,1,755.117568,679.6058112,0.220716182,0.195731182
